Critic,Movie,Year,Recommends
Ferdosa Abdi,Teen Titans Go! To the Movies,2018,1
Ferdosa Abdi,BlacKkKlansman,2018,1
Mae Abdulbaki,Fantastic Beasts: The Crimes of Grindelwald,2018,0
Mae Abdulbaki,Outlaw King,2018,0
Mae Abdulbaki,The New Romantic,2018,0
Mae Abdulbaki,The Nutcracker and the Four Realms,2018,0
Mae Abdulbaki,Wildlife,2018,1
Mae Abdulbaki,Everybody Knows (Todos lo saben),2019,1
Mae Abdulbaki,What They Had,2018,1
Mae Abdulbaki,Boy Erased,2018,1
Mae Abdulbaki,The Favourite,2018,0
Mae Abdulbaki,The Kindergarten Teacher,2018,0
Mae Abdulbaki,Sadie,2018,0
Mae Abdulbaki,First Man,2018,0
Mae Abdulbaki,Venom,2018,0
Mae Abdulbaki,All About Nina,2018,1
Mae Abdulbaki,The Oath,2018,1
Mae Abdulbaki,Life Itself,2018,0
Mae Abdulbaki,Sierra Burgess Is a Loser,2018,0
Mae Abdulbaki,Peppermint,2018,0
Mae Abdulbaki,Remember,2016,0
Mae Abdulbaki,"Hello, My Name is Doris",2016,1
Mae Abdulbaki,The Divergent Series: Allegiant,2016,0
Mae Abdulbaki,Eye In The Sky,2016,1
Mae Abdulbaki,Batman v Superman: Dawn of Justice,2016,0
Mae Abdulbaki,I Saw the Light,2016,0
Mae Abdulbaki,My Big Fat Greek Wedding 2,2016,0
Mae Abdulbaki,Marguerite,2016,1
Mae Abdulbaki,Lolo,2016,1
Mae Abdulbaki,Midnight Special,2016,1
Mae Abdulbaki,Louder Than Bombs,2016,1
Mae Abdulbaki,Miles Ahead,2016,1
Mae Abdulbaki,The Boss,2016,0
Mae Abdulbaki,Demolition,2016,1
Mae Abdulbaki,Wedding Doll (Hatuna Meniyar),2016,1
Mae Abdulbaki,"Juliet, Naked",2018,1
Mae Abdulbaki,Sing Street,2016,1
Mae Abdulbaki,Green Room,2016,1
Mae Abdulbaki,The Jungle Book,2016,1
Mae Abdulbaki,Criminal,2016,0
Mae Abdulbaki,The Dark Horse,2016,1
Mae Abdulbaki,"Rio, I Love You (Rio, Eu Te Amo)",2016,0
Mae Abdulbaki,Ratchet & Clank,2016,1
Mae Abdulbaki,Keanu,2016,1
Mae Abdulbaki,Mother's Day,2016,0
Mae Abdulbaki,Fireworks Wednesday (Chaharshanbe-soori),2016,1
Mae Abdulbaki,The Family Fang,2016,1
Mae Abdulbaki,Captain America: Civil War,2016,1
Mae Abdulbaki,The Man Who Knew Infinity,2016,0
Mae Abdulbaki,High-Rise,2016,0
Mae Abdulbaki,A Bigger Splash,2016,1
Mae Abdulbaki,The Lobster,2016,1
Hanif Abdurraqib,Black Panther,2018,1
Daudi Abe,Crown Heights,2017,1
Fraser Abe,Early Man,2018,1
Fraser Abe,Ferdinand,2017,1
Miya Abe,The House with a Clock in Its Walls,2018,0
Erica Abeel,At Eternity's Gate,2018,1
Erica Abeel,Colette,2018,1
Erica Abeel,The Seagull,2018,1
Erica Abeel,The Guardians (Les Gardiennes),2018,1
Erica Abeel,Chappaquiddick,2018,1
Erica Abeel,Final Portrait,2018,0
Erica Abeel,Double Lover (L'amant double),2018,0
Erica Abeel,Happy End,2017,1
Erica Abeel,Foxtrot,2018,1
Erica Abeel,Lover For A Day (L'amant d'un jour),2018,1
Erica Abeel,The Square,2017,1
Erica Abeel,The Beguiled,2017,0
Erica Abeel,War Machine,2017,1
Erica Abeel,Paris Can Wait (Bonjour Anne),2017,1
Erica Abeel,The Sense Of An Ending,2017,1
Erica Abeel,"I, Daniel Blake",2017,1
Erica Abeel,Certain Women,2016,1
Erica Abeel,Genius,2016,0
Erica Abeel,Love & Friendship,2016,1
Erica Abeel,A Bigger Splash,2016,1
Erica Abeel,My Golden Days (Trois Souvenirs De Ma Jeunesse),2016,0
Erica Abeel,45 Years,2015,1
Erica Abeel,Youth,2015,0
Erica Abeel,Brooklyn,2015,1
Erica Abeel,She's Funny That Way,2015,0
Erica Abeel,The End Of The Tour,2015,0
Erica Abeel,Jimmy's Hall,2015,1
Erica Abeel,Far From the Madding Crowd,2015,1
Erica Abeel,While We're Young,2015,1
Erica Abeel,Maps to the Stars,2015,1
Erica Abeel,Timbuktu,2015,1
Erica Abeel,A Most Violent Year,2015,1
Erica Abeel,Mr. Turner,2014,1
Erica Abeel,Foxcatcher,2014,1
Erica Abeel,Land Ho!,2014,0
Erica Abeel,Snowpiercer,2014,1
Erica Abeel,Venus in Fur,2014,1
Erica Abeel,Filth,2014,0
Erica Abeel,The Double,2014,1
Erica Abeel,Le passé (The Past),2013,1
Erica Abeel,Kill Your Darlings,2013,1
Erica Abeel,Ain't Them Bodies Saints,2013,1
Erica Abeel,The Bling Ring,2013,0
Erica Abeel,Before Midnight,2013,1
Erica Abeel,Stories We Tell,2013,1
Erica Abeel,Love Is All You Need,2013,1
Erica Abeel,On the Road,2012,0
Erica Abeel,A Late Quartet,2012,1
Erica Abeel,The Paperboy,2012,1
Erica Abeel,30 Beats,2012,0
Robert Abele,Creed II,2018,1
Robert Abele,Team Khan,2018,1
Robert Abele,A Cool Fish,2018,0
Robert Abele,"Ruben Brandt, Collector",2018,1
Robert Abele,Searching for Ingmar Bergman (Ingmar Bergman - Vermächtnis eines Jahrhundertgenies),2018,1
Robert Abele,The Price of Free,2018,1
Robert Abele,Say Her Name: The Life and Death of Sandra Bland,2018,1
Robert Abele,Outlaw King,2018,0
Robert Abele,Blue My Mind,2017,1
Robert Abele,The Front Runner,2018,1
Robert Abele,In Search of Greatness,2018,1
Robert Abele,The War at Home,1979,1
Robert Abele,The Grief of Others,2018,1
Robert Abele,Border (Gräns),2018,1
Robert Abele,Vaya,2018,1
Robert Abele,"A Bread Factory, Part Two: Walk with Me a While",2018,1
Robert Abele,"A Bread Factory, Part One: For the Sake of Gold",2018,1
Robert Abele,Life and Nothing More (La Vida y Nada Más),2018,1
Robert Abele,Charm City,2018,1
Robert Abele,"Lots of Kids, a Monkey and a Castle (Muchos hijos, un mono y un castillo)",2017,1
Robert Abele,Wildlife,2018,1
Robert Abele,306 Hollywood,2018,0
Robert Abele,Apostle,2018,0
Robert Abele,Stavisky...,1974,1
Robert Abele,Bigger,2018,0
Robert Abele,L'Atalante,1934,1
Robert Abele,Above And Beyond: NASA's Journey To Tomorrow,2018,1
Robert Abele,Scaffolding,2018,1
Robert Abele,Call Her Ganda,2018,1
Robert Abele,Hold the Dark,2018,1
Robert Abele,The Last Suit (El último traje),2018,1
Robert Abele,Monsters and Men,2018,1
Robert Abele,Fahrenheit 11/9,2018,1
Robert Abele,Life Itself,2018,0
Robert Abele,I Think We're Alone Now,2018,0
Robert Abele,Reversing Roe,2018,1
Robert Abele,A Simple Favor,2018,0
Robert Abele,Susanne Bartsch: On Top,2018,1
Robert Abele,Inventing Tomorrow,2018,1
Robert Abele,Kusama: Infinity,2018,1
Robert Abele,Hal,2018,1
Robert Abele,They'll Love Me When I'm Dead,2018,1
Robert Abele,The Other Side of the Wind,2018,1
Robert Abele,Peppermint Soda,1977,1
Robert Abele,Active Measures,2018,1
Robert Abele,The Laws of Thermodynamics (Las Leyes de la Termodinámica),2018,0
Robert Abele,Memoir of War (La douleur),2018,0
Robert Abele,A Whale of a Tale,2018,0
Robert Abele,Papillon,2018,0
Raphael Abraham,Non-Fiction,2018,1
Raphael Abraham,The Sisters Brothers,2018,1
Raphael Abraham,The Other Side of the Wind,2018,1
Raphael Abraham,Vox Lux,2018,1
Raphael Abraham,Suspiria,2018,1
Raphael Abraham,The Ballad of Buster Scruggs,2018,1
Raphael Abraham,The Favourite,2018,1
Raphael Abraham,Roma,2018,1
Raphael Abraham,A Star Is Born,2018,0
Raphael Abraham,First Man,2018,1
Raphael Abraham,The House That Jack Built,2018,1
Raphael Abraham,Under the Silver Lake,2019,0
Raphael Abraham,BlacKkKlansman,2018,1
Raphael Abraham,3 Faces,2018,1
Raphael Abraham,Summer (Leto),2018,0
Raphael Abraham,The Image Book (Le livre d'image),2018,1
Raphael Abraham,Ash Is Purest White,2019,1
Raphael Abraham,Cold War (Zimna wojna),2018,1
Raphael Abraham,Yomeddine,2018,1
Raphael Abraham,Wildlife,2018,1
Raphael Abraham,Wonder Wheel,2017,0
Raphael Abraham,The Work,2017,1
Raphael Abraham,The Beguiled,2017,1
Raphael Abraham,Ismael's Ghosts (Les fantômes d'Ismaël),2018,0
Raphael Abraham,The Shape of Water,2017,1
Raphael Abraham,Human Flow,2017,1
Raphael Abraham,"Three Billboards Outside Ebbing, Missouri",2017,1
Raphael Abraham,Suburbicon,2017,1
Raphael Abraham,Reinventing Marvin (Marvin),2017,1
Raphael Abraham,Lean on Pete,2018,1
Raphael Abraham,Downsizing,2017,1
Raphael Abraham,Rodin,2018,0
Raphael Abraham,Good Time,2017,1
Raphael Abraham,The Killing of a Sacred Deer,2017,1
Raphael Abraham,BPM (Beats Per Minute) (120 battements par minute),2017,1
Raphael Abraham,Happy End,2017,1
Raphael Abraham,The Square,2017,1
Raphael Abraham,Godard Mon Amour (Le redoutable),2018,1
Raphael Abraham,The Meyerowitz Stories (New and Selected),2017,1
Raphael Abraham,Okja,2017,1
Raphael Abraham,Loveless (Nelyubov),2018,1
Raphael Abraham,Wonderstruck,2017,1
Raphael Abraham,The Brand New Testament (Le tout nouveau testament),2016,1
Raphael Abraham,Our Little Sister (Umimachi Diary),2016,1
Raphael Abraham,Eye In The Sky,2016,1
Raphael Abraham,The Jungle Book,2016,1
Raphael Abraham,The Connection,2015,1
Raphael Abraham,Mad Max: Fury Road,2015,1
Raphael Abraham,The Source (La source des femmes),2011,0
Raphael Abraham,She Monkeys (Apflickorna),2011,1
Simon Abrams,Speed Kills,2018,0
Simon Abrams,Overlord,2018,0
Simon Abrams,Welcome to Mercy,2018,1
Simon Abrams,Border (Gräns),2018,0
Simon Abrams,22 July,2018,0
Simon Abrams,Martyrs,2008,1
Simon Abrams,Bad Times at the El Royale,2018,1
Simon Abrams,MFKZ,2018,0
Simon Abrams,I Still See You,2018,0
Simon Abrams,Await Further Instructions,2018,0
Simon Abrams,Heavy Trip (Hevi reissu),2018,1
Simon Abrams,The House with a Clock in Its Walls,2018,0
Simon Abrams,The Public Image is Rotten,2018,0
Simon Abrams,The Predator,2018,1
Simon Abrams,Big Brother (Taai si hing),2018,1
Simon Abrams,Let the Corpses Tan (Laissez bronzer les cadavres!),2018,0
Simon Abrams,Arizona,2018,0
Simon Abrams,Puppet Master: The Littlest Reich,2018,0
Simon Abrams,BuyBust,2018,0
Simon Abrams,The Island,2018,1
Simon Abrams,Dolemite,1975,1
Simon Abrams,Teen Titans Go! To the Movies,2018,0
Simon Abrams,14 Cameras,2018,0
Simon Abrams,Detective Dee: The Four Heavenly Kings (Di Renjie zhi Sidatianwang),2018,1
Simon Abrams,Unfriended: Dark Web,2018,0
Simon Abrams,Gauguin: Voyage to Tahiti,2018,1
Simon Abrams,The Night Eats the World (La nuit a dévoré le monde),2018,1
Simon Abrams,Bleeding Steel,2018,0
Simon Abrams,A Skin So Soft (Ta peau si lisse),2018,0
Simon Abrams,Ant-Man and the Wasp,2018,1
Simon Abrams,Black Water,2018,0
Simon Abrams,Ideal Home,2018,0
Simon Abrams,Incident In a Ghost Land (Ghostland),2018,1
Simon Abrams,Damsel,2018,0
Simon Abrams,Spiral,2018,0
Simon Abrams,China Salesman,2018,0
Simon Abrams,Straight Into a Storm,2018,1
Simon Abrams,Believer,2018,0
Simon Abrams,Upgrade,2018,1
Simon Abrams,Breath,2018,0
Simon Abrams,A Fistful of Dollars (Per un Pugno di Dollari),1964,1
Simon Abrams,Lu Over the Wall (Yoake tsugeru Rû no uta),2018,0
Simon Abrams,The Day After (Geu-hu),2018,0
Simon Abrams,Always at the Carlyle,2018,0
Simon Abrams,102 Not Out,2018,1
Simon Abrams,Manhunt,2017,1
Simon Abrams,Bad Samaritan,2018,1
Simon Abrams,The Guardians (Les Gardiennes),2018,1
Simon Abrams,Beyond the Clouds,2018,0
Beth Accomando,The Happy Prince,2018,1
Beth Accomando,Halloween,2018,1
Beth Accomando,Bad Times at the El Royale,2018,0
Beth Accomando,The Hate U Give,2018,1
Beth Accomando,Mr. Smith Goes to Washington,1939,1
Beth Accomando,A Star Is Born,2018,0
Beth Accomando,I Am Not a Witch,2018,1
Beth Accomando,Lizzie,2018,0
Beth Accomando,White Boy Rick,2018,0
Beth Accomando,Summer of '84,2018,1
Beth Accomando,Mile 22,2018,0
Beth Accomando,The Meg,2018,0
Beth Accomando,A Midsummer Night's Dream,2018,1
Beth Accomando,BlacKkKlansman,2018,1
Beth Accomando,The Other Side of Everything (Druga strana svega),2017,1
Beth Accomando,Mission: Impossible - Fallout,2018,1
Beth Accomando,Ideal Home,2018,1
Beth Accomando,Ant-Man and the Wasp,2018,1
Beth Accomando,How to Talk to Girls at Parties,2018,1
Beth Accomando,Deadpool 2,2018,1
Beth Accomando,RBG,2018,1
Beth Accomando,Wildling,2018,1
Beth Accomando,Avengers: Infinity War,2018,1
Beth Accomando,Rampage,2018,1
Beth Accomando,Foxtrot,2018,1
Beth Accomando,A Quiet Place,2018,0
Beth Accomando,Tehran Taboo,2018,1
Beth Accomando,The Blood Is at the Doorstep,2017,1
Beth Accomando,Isle of Dogs,2018,1
Beth Accomando,The Cured,2018,1
Beth Accomando,Bombshell: The Hedy Lamarr Story,2017,1
Beth Accomando,Black Panther,2018,1
Beth Accomando,The Party,2018,1
Beth Accomando,Phantom Thread,2018,1
Beth Accomando,Haunters: The Art of the Scare,2017,1
Beth Accomando,"Faces Places (Visages, villages)",2017,1
Beth Accomando,Molly's Game,2018,1
Beth Accomando,Star Wars: The Last Jedi,2017,1
Beth Accomando,The Shape of Water,2017,1
Beth Accomando,Justice League,2017,0
Beth Accomando,Tom of Finland,2017,1
Beth Accomando,Blade Runner 2049,2017,1
Beth Accomando,Victoria & Abdul,2017,0
Beth Accomando,Kingsman: The Golden Circle,2017,1
Beth Accomando,mother!,2017,1
Beth Accomando,Brigsby Bear,2017,1
Beth Accomando,Detroit,2017,1
Beth Accomando,Atomic Blonde,2017,1
Beth Accomando,The Beguiled,2017,1
Beth Accomando,War for the Planet of the Apes,2017,1
Kirsten Acuna,Fantastic Beasts: The Crimes of Grindelwald,2018,1
Kirsten Acuna,Ralph Breaks the Internet,2018,1
Kirsten Acuna,The Grinch,2018,1
Kirsten Acuna,Avengers: Age of Ultron,2015,1
Kirsten Acuna,Batman v Superman: Dawn of Justice,2016,1
Kirsten Acuna,Man of Steel,2013,1
Kirsten Acuna,The Lego Batman Movie,2017,1
Kirsten Acuna,Cars 3,2017,1
Kirsten Acuna,Pirates of the Caribbean: Dead Men Tell No Tales,2017,0
Kirsten Acuna,Transformers: The Last Knight,2017,1
Kirsten Acuna,Kingsman: The Golden Circle,2017,0
Kirsten Acuna,The Fate of the Furious,2017,1
Kirsten Acuna,Spider-Man: Homecoming,2017,1
Kirsten Acuna,Beauty and the Beast,2017,1
Kirsten Acuna,Guardians of the Galaxy Vol. 2,2017,1
Kirsten Acuna,Logan,2017,1
Kirsten Acuna,Justice League,2017,0
Kirsten Acuna,Star Wars: The Last Jedi,2017,1
Kirsten Acuna,Happy Death Day,2017,1
Kirsten Acuna,Blumhouse's Truth or Dare,2018,1
Kirsten Acuna,Fifty Shades Freed,2018,0
Kirsten Acuna,Ready Player One,2018,1
Kirsten Acuna,Jurassic World: Fallen Kingdom,2018,1
Kirsten Acuna,Deadpool 2,2018,1
Kirsten Acuna,Solo: A Star Wars Story,2018,0
Kirsten Acuna,Avengers: Infinity War,2018,1
Kirsten Acuna,Ant-Man and the Wasp,2018,1
Kirsten Acuna,Halloween,2018,1
Kirsten Acuna,Venom,2018,0
Kirsten Acuna,Incredibles 2,2018,1
Amanda Adame,A Simple Favor,2018,1
Amanda Adame,Liliane Susewind (Liliane Susewind - Ein tierisches Abenteuer),2018,0
Amanda Adame,The Spy Who Dumped Me,2018,0
Amanda Adame,The Wife,2018,1
Amanda Adame,Tag,2018,0
Amanda Adame,Gringo,2018,1
Amanda Adame,"Love, Simon",2018,1
Amanda Adame,The Mercy,2017,0
Amanda Adame,A Wrinkle in Time,2018,0
Amanda Adame,Red Sparrow,2018,1
Amanda Adame,Father Figures,2017,0
Amanda Adame,Fifty Shades Freed,2018,0
Amanda Adame,First Kill,2017,0
Amanda Adame,Downsizing,2017,0
Amanda Adame,Der geilste Tag,2016,1
Amanda Adame,I Am a Hero,2015,1
Amanda Adame,Bright,2017,1
Amanda Adame,A Bad Moms Christmas,2017,1
Amanda Adame,Voice from the Stone,2017,0
Amanda Adame,Daddy's Home 2,2017,0
Amanda Adame,Condorito: La Película,2018,1
Amanda Adame,How to Break Up with Your Douchebag (Cómo cortar a tu patán),2017,1
Amanda Adame,My Little Pony: The Movie,2017,1
Amanda Adame,Paris Can Wait (Bonjour Anne),2017,0
Amanda Adame,A Family Man,2017,1
Amanda Adame,"Treintona, Soltera y Fantástica",2016,1
Amanda Adame,Bad Moms,2016,1
Amanda Adame,The Divergent Series: Allegiant,2016,0
Amanda Adame,Dirty Grandpa,2016,0
Amanda Adame,How To Be Single,2016,1
Amanda Adame,The 5th Wave,2016,0
Amanda Adame,Grandma,2015,1
Amanda Adame,By The Sea,2015,0
Amanda Adame,You're Not You,2014,1
Amanda Adame,Love the Coopers,2015,0
Amanda Adame,The Forger,2015,0
Amanda Adame,While We're Young,2015,1
Amanda Adame,Maya The Bee Movie,2015,1
Amanda Adame,The Intern,2015,1
Amanda Adame,We Are Your Friends,2015,0
Pauline Adamek,Hearts Beat Loud,2018,1
Pauline Adamek,Mission: Impossible - Fallout,2018,1
Pauline Adamek,Grace Jones: Bloodlight and Bami,2018,1
Pauline Adamek,"Three Billboards Outside Ebbing, Missouri",2017,1
Pauline Adamek,To the Bone,2017,0
Pauline Adamek,I Am Not Your Negro,2017,1
Pauline Adamek,Film Hawk,2016,1
Pauline Adamek,Saban's Power Rangers,2017,1
Pauline Adamek,Rogue One: A Star Wars Story,2016,1
Pauline Adamek,Julieta,2016,1
Pauline Adamek,The Carer,2015,1
Pauline Adamek,Ben-Hur,2016,0
Pauline Adamek,People Places Things,2015,1
Pauline Adamek,The Wolfpack,2015,1
Pauline Adamek,Aloha,2015,0
Pauline Adamek,"Kiss Kiss, Bang Bang",2005,1
Pauline Adamek,Ratatouille,2007,1
Pauline Adamek,Gravity,2013,1
Pauline Adamek,Morning Glory,2010,1
Pauline Adamek,Resident Evil: Afterlife,2010,1
Pauline Adamek,The Other Guys,2010,1
Pauline Adamek,Coraline,2009,1
Pauline Adamek,Observe and Report,2009,0
Pauline Adamek,The Secret Life of Bees,2008,1
Pauline Adamek,Step Brothers,2008,1
Pauline Adamek,WALL-E,2008,1
Pauline Adamek,In Bruges,2008,1
Pauline Adamek,The Dark Knight,2008,1
Pauline Adamek,Speed Racer,2008,0
Pauline Adamek,The Chronicles of Narnia: Prince Caspian,2008,1
Pauline Adamek,Leatherheads,2008,1
Pauline Adamek,Black and White,2002,0
Pauline Adamek,Titan A.E.,2000,1
Pauline Adamek,U-571,2000,1
Thelma Adams,Can You Ever Forgive Me?,2018,1
Thelma Adams,The Old Man & the Gun,2018,1
Thelma Adams,"Love, Gilda",2018,1
Thelma Adams,Colette,2018,1
Thelma Adams,White Boy Rick,2018,1
Thelma Adams,Destination Wedding,2018,1
Thelma Adams,Mission: Impossible - Fallout,2018,1
Thelma Adams,Mamma Mia! Here We Go Again,2018,1
Thelma Adams,"Don't Worry, He Won't Get Far on Foot",2018,1
Thelma Adams,"I Love You, Daddy",2017,0
Thelma Adams,LBJ,2017,1
Thelma Adams,The Glass Castle,2017,0
Thelma Adams,Detroit,2017,1
Thelma Adams,Atomic Blonde,2017,1
Thelma Adams,Valerian and the City of a Thousand Planets,2017,1
Thelma Adams,The Midwife (Sage femme),2017,1
Thelma Adams,Wish Upon,2017,0
Thelma Adams,City of Ghosts,2017,1
Thelma Adams,Baby Driver,2017,1
Thelma Adams,Maudie,2017,1
Thelma Adams,Rough Night,2017,0
Thelma Adams,The Mummy,2017,0
Thelma Adams,Megan Leavey,2017,0
Thelma Adams,Wonder Woman,2017,1
Thelma Adams,Alien: Covenant,2017,1
Thelma Adams,Stefan Zweig: Farewell to Europe,2017,1
Thelma Adams,Guardians of the Galaxy Vol. 2,2017,1
Thelma Adams,The Dinner,2017,1
Thelma Adams,The Circle,2017,1
Thelma Adams,Ghost in the Shell,2017,0
Thelma Adams,Raw,2017,1
Thelma Adams,Get Out,2017,1
Thelma Adams,Rings,2017,0
Thelma Adams,Resident Evil: The Final Chapter,2017,0
Thelma Adams,The Salesman (Forushande),2017,1
Thelma Adams,The Red Turtle (La tortue rouge),2017,1
Thelma Adams,Hands of Stone,2016,1
Thelma Adams,Florence Foster Jenkins,2016,0
Thelma Adams,Weiner,2016,1
Thelma Adams,Criminal,2016,1
Thelma Adams,Whiskey Tango Foxtrot,2016,0
Thelma Adams,"Hail, Caesar!",2016,1
Thelma Adams,Carol,2015,1
Thelma Adams,The Keeping Room,2015,1
Thelma Adams,Sicario,2015,0
Thelma Adams,Testament Of Youth,2015,1
Thelma Adams,Tomorrowland,2015,1
Thelma Adams,Mad Max: Fury Road,2015,1
Thelma Adams,Welcome to Me,2015,1
Thelma Adams,Woman in Gold,2015,1
Sam Adams,Creed II,2018,0
Sam Adams,Ralph Breaks the Internet,2018,1
Sam Adams,The Girl in the Spider's Web,2018,0
Sam Adams,Mid90s,2018,0
Sam Adams,The Hate U Give,2018,1
Sam Adams,Venom,2018,0
Sam Adams,American Dharma,2018,1
Sam Adams,Fahrenheit 11/9,2018,1
Sam Adams,Bisbee '17,2018,1
Sam Adams,Support the Girls,2018,1
Sam Adams,Mission: Impossible - Fallout,2018,1
Sam Adams,How To Die In Oregon,2011,1
Sam Adams,There's Something Wrong With Aunt Diane,2011,0
Sam Adams,Jurassic World: Fallen Kingdom,2018,1
Sam Adams,Incredibles 2,2018,1
Sam Adams,Deadpool 2,2018,0
Sam Adams,Solo: A Star Wars Story,2018,0
Sam Adams,Avengers: Infinity War,2018,0
Sam Adams,A Quiet Place,2018,1
Sam Adams,Unsane,2018,0
Sam Adams,The Task,2018,1
Sam Adams,The Strangers: Prey At Night,2018,0
Sam Adams,Game Night,2018,1
Sam Adams,Mute,2018,0
Sam Adams,Early Man,2018,1
Sam Adams,The 15:17 to Paris,2018,0
Sam Adams,The Cloverfield Paradox,2018,0
Sam Adams,A Fantastic Woman (Una mujer fantástica),2018,1
Sam Adams,Mary and The Witch's Flower,2018,0
Sam Adams,The Commuter,2018,1
Sam Adams,Star Wars: The Last Jedi,2017,1
Sam Adams,Darkest Hour,2017,1
Sam Adams,Coco,2017,0
Sam Adams,The Killing of a Sacred Deer,2017,0
Sam Adams,American Made,2017,0
Sam Adams,Kingsman: The Golden Circle,2017,0
Sam Adams,The Dark Tower,2017,0
Sam Adams,Valerian and the City of a Thousand Planets,2017,0
Sam Adams,Baby Driver,2017,1
Sam Adams,The Mummy,2017,0
Sam Adams,Alien: Covenant,2017,0
Sam Adams,The Circle,2017,0
Sam Adams,The Fate of the Furious,2017,0
Sam Adams,Song to Song,2017,1
Sam Adams,Manifesto,2017,1
Sam Adams,Call Me by Your Name,2018,1
Sam Adams,A Ghost Story,2017,1
Sam Adams,The Discovery,2017,1
Sam Adams,An Inconvenient Sequel: Truth To Power,2017,1
Sam Adams,The Red Turtle (La tortue rouge),2017,1
Erik Adams,The Happytime Murders,2018,0
Erik Adams,Robin Williams: Come Inside My Mind,2018,1
Erik Adams,Chris Gethard: Career Suicide,2017,1
Erik Adams,Patton Oswalt: Annihilation,2017,1
Erik Adams,Jim Henson's Turkey Hollow,2015,0
Erik Adams,Love & Mercy,2015,1
Erik Adams,Elf: Buddy's Musical Christmas,2014,1
Erik Adams,Muppets Most Wanted,2014,1
Erik Adams,Date And Switch,2014,0
Nate Adams,The Front Runner,2018,1
Nate Adams,Widows,2018,1
Nate Adams,Fantastic Beasts: The Crimes of Grindelwald,2018,1
Nate Adams,Wildlife,2018,1
Nate Adams,Instant Family,2018,1
Nate Adams,Green Book,2018,1
Nate Adams,The Ballad of Buster Scruggs,2018,1
Nate Adams,Overlord,2018,1
Nate Adams,The Grinch,2018,0
Nate Adams,The Nutcracker and the Four Realms,2018,0
Nate Adams,The Guilty (Den skyldige),2018,1
Nate Adams,Hunter Killer,2018,0
Nate Adams,Bohemian Rhapsody,2018,0
Nate Adams,Halloween,2018,1
Nate Adams,The Hate U Give,2018,1
Nate Adams,The Old Man & the Gun,2018,1
Nate Adams,First Man,2018,1
